Id,Time[ns],1:UART: RX/TX
271,7636388480.00,[0A]
272,7636399320.00,O
273,7636410160.00,K
274,7636421000.00,[0D]
275,7636431880.00,[0A]
276,7638368240.00,[0D]
277,7638379080.00,[0A]
278,7638389920.00,+
279,7638400760.00,I
280,7638411640.00,C
281,7638422480.00,C
282,7638433320.00,I
283,7638444160.00,D
284,7638455000.00,:
285,7638465880.00,[20]
286,7638476720.00,8
287,7638487560.00,9
288,7638498400.00,8
289,7638509240.00,6
290,7638520120.00,0
291,7638530960.00,4
292,7638541800.00,1
293,7638552640.00,3
294,7638563480.00,1
295,7638574360.00,6
296,7638585200.00,2
297,7638596040.00,5
298,7638606880.00,8
299,7638617720.00,0
300,7638628600.00,1
301,7638639440.00,8
302,7638650280.00,2
303,7638661120.00,7
304,7638671960.00,9
305,7638682840.00,8
306,7638693680.00,[0D]
307,7638704520.00,[0A]
308,7638715360.00,[0D]
309,7638726200.00,[0A]
310,7638737080.00,O
311,7638747920.00,K
312,7638758760.00,[0D]
313,7638769600.00,[0A]
314,7639730720.00,[0D]
315,7639741600.00,[0A]
316,7639752440.00,+
317,7639763280.00,C
318,7639774120.00,O
319,7639785000.00,P
320,7639795840.00,S
321,7639806680.00,:
322,7639817520.00,[20]
323,7639828360.00,0
324,7639839240.00,,
325,7639850080.00,0
326,7639860920.00,,
327,7639871760.00,"
328,7639882600.00,C
329,7639893480.00,H
330,7639904320.00,I
331,7639915160.00,N
332,7639926000.00,A
333,7639936840.00,[20]
334,7639947720.00,M
335,7639958560.00,O
336,7639969400.00,B
337,7639980240.00,I
338,7639991080.00,L
339,7640001960.00,E
340,7640012800.00,"
341,7640023640.00,,
342,7640034480.00,7
343,7640045320.00,[0D]
344,7640056200.00,[0A]
345,7640067040.00,[0D]
346,7640077880.00,[0A]
347,7640088720.00,O
348,7640099560.00,K
349,7640110440.00,[0D]
350,7640121280.00,[0A]
351,7640960920.00,[0D]
352,7640971760.00,[0A]
353,7640982600.00,C
354,7640993440.00,M
355,7641004280.00,C
356,7641015160.00,C
357,7641026000.00,[0D]
358,7641036840.00,[0A]
359,7641047680.00,[0D]
360,7641058520.00,[0A]
361,7641069400.00,O
362,7641080240.00,K
363,7641091080.00,[0D]
364,7641101920.00,[0A]
365,7641746320.00,[0D]
366,7641757160.00,[0A]
367,7641768000.00,M
368,7641778840.00,L
369,7641789680.00,3
370,7641800560.00,0
371,7641811400.00,7
372,7641822240.00,R
373,7641833080.00,[0D]
374,7641843920.00,[0A]
375,7641854800.00,[0D]
376,7641865640.00,[0A]
377,7641876480.00,O
378,7641887320.00,K
379,7641898160.00,[0D]
380,7641909040.00,[0A]
381,7642991640.00,[0D]
382,7643002520.00,[0A]
383,7643013360.00,O
384,7643024200.00,K
385,7643035040.00,[0D]
386,7643045880.00,[0A]
387,7643990760.00,[0D]
388,7644001600.00,[0A]
389,7644012440.00,O
390,7644023320.00,K
391,7644034160.00,[0D]
392,7644045000.00,[0A]
393,7645037600.00,[0D]
394,7645048440.00,[0A]
395,7645059280.00,O
396,7645070160.00,K
397,7645081000.00,[0D]
398,7645091840.00,[0A]
399,7645970520.00,[0D]
400,7645981360.00,[0A]
401,7645992240.00,+
402,7646003080.00,M
403,7646013920.00,I
404,7646024760.00,P
405,7646035600.00,S
406,7646046480.00,T
407,7646057320.00,A
408,7646068160.00,T
