Id,Time[ns],1:UART: RX/TX
6260,11414850960.00,2
6261,11414861800.00,D
6262,11414872680.00,A
6263,11414883520.00,7
6264,11414894360.00,1
6265,11414905200.00,3
6266,11414916040.00,D
6267,11414926920.00,E
6268,11414937760.00,4
6269,11414948600.00,5
6270,11414959440.00,D
6271,11414970280.00,7
6272,11414981160.00,A
6273,11414992000.00,3
6274,11415002840.00,6
6275,11415013680.00,6
6276,11415024520.00,1
6277,11415035400.00,5
6278,11415046240.00,E
6279,11415057080.00,2
6280,11415067920.00,9
6281,11415078760.00,A
6282,11415089640.00,A
6283,11415100480.00,A
6284,11415111320.00,E
6285,11415122160.00,D
6286,11415133040.00,7
6287,11415143880.00,5
6288,11415154720.00,B
6289,11415165560.00,D
6290,11415176400.00,E
6291,11415187240.00,3
6292,11415198120.00,2
6293,11415208960.00,B
6294,11415219800.00,A
6295,11415230640.00,8
6296,11415241480.00,B
6297,11415252360.00,9
6298,11415263200.00,D
6299,11415274040.00,4
6300,11415284880.00,D
6301,11415295720.00,6
6302,11415306600.00,8
6303,11415317440.00,D
6304,11415328280.00,5
6305,11415339120.00,2
6306,11415350000.00,A
6307,11415360840.00,0
6308,11415371680.00,6
6309,11415382520.00,7
6310,11415393360.00,5
6311,11415404200.00,E
6312,11415415080.00,2
6313,11415425920.00,5
6314,11415436760.00,3
6315,11415447600.00,8
6316,11415458440.00,5
6317,11415469320.00,B
6318,11415480160.00,5
6319,11415491000.00,4
6320,11415501840.00,5
6321,11415512680.00,4
6322,11415523560.00,2
6323,11415534400.00,F
6324,11415545240.00,7
6325,11415556080.00,A
6326,11415566960.00,4
6327,11415577800.00,5
6328,11415588640.00,5
6329,11415599480.00,C
6330,11415610320.00,A
6331,11415621160.00,D
6332,11415632040.00,D
6333,11415642880.00,3
6334,11415653720.00,2
6335,11415664560.00,B
6336,11415675400.00,5
6337,11415686280.00,3
6338,11415697120.00,B
6339,11415707960.00,C
6340,11415718800.00,7
6341,11415729640.00,F
6342,11415740520.00,D
6343,11415751360.00,7
6344,11415762200.00,7
6345,11415773040.00,B
6346,11415783920.00,B
6347,11415794760.00,C
6348,11415805600.00,4
6349,11415816440.00,A
6350,11415827280.00,9
6351,11415838120.00,A
6352,11415849000.00,0
6353,11415859840.00,B
6354,11415870680.00,3
6355,11415881520.00,F
6356,11415892360.00,E
6357,11415903240.00,8
6358,11415914080.00,0
6359,11415924920.00,1
6360,11415935760.00,0
6361,11415946600.00,D
6362,11415957480.00,4
6363,11415968320.00,8
6364,11415979160.00,4
6365,11415990000.00,B
6366,11416000880.00,0
6367,11416011720.00,C
6368,11416022560.00,0
6369,11416033400.00,C
6370,11416044240.00,C
6371,11416055120.00,6
6372,11416065960.00,C
6373,11416076800.00,C
6374,11416087640.00,F
6375,11416098480.00,D
6376,11416109320.00,4
6377,11416120200.00,8
6378,11416131040.00,5
6379,11416141880.00,F
6380,11416152720.00,4
6381,11416163560.00,9
6382,11416174440.00,9
6383,11416185280.00,B
6384,11416196120.00,1
6385,11416206960.00,3
6386,11416217840.00,2
6387,11416228680.00,8
6388,11416239520.00,1
6389,11416250360.00,8
6390,11416261200.00,9
6391,11416272080.00,C
6392,11416282920.00,9
6393,11416293760.00,6
6394,11416304600.00,A
6395,11416315440.00,2
6396,11416326280.00,C
6397,11416337160.00,9
6398,11416348000.00,3
6399,11416358840.00,7
6400,11416369680.00,A
6401,11416380520.00,B
6402,11416391400.00,2
6403,11416402240.00,1
6404,11416413080.00,8
6405,11416423920.00,E
6406,11416434800.00,8
6407,11416445640.00,2
6408,11416456480.00,5
6409,11416467320.00,F
6410,11416478160.00,E
6411,11416489040.00,F
6412,11416499880.00,F
6413,11416510720.00,A
6414,11416521560.00,B
6415,11416532400.00,8
6416,11416543240.00,9
6417,11416554120.00,1
6418,11416564960.00,A
6419,11416575800.00,F
6420,11416586640.00,5
6421,11416597480.00,D
6422,11416608360.00,C
6423,11416619200.00,5
6424,11416630040.00,5
6425,11416640880.00,9
6426,11416651760.00,2
6427,11416662600.00,D
6428,11416673440.00,C
6429,11416684280.00,7
6430,11416695120.00,7
6431,11416706000.00,E
6432,11416716840.00,E
6433,11416727680.00,F
6434,11416738520.00,C
6435,11416749360.00,4
6436,11416760200.00,6
6437,11416771080.00,B
6438,11416781920.00,3
6439,11416792760.00,2
6440,11416803600.00,5
6441,11416814440.00,F
6442,11416825320.00,2
6443,11416836160.00,C
6444,11416847000.00,6
6445,11416857840.00,1
6446,11416868720.00,A
6447,11416879560.00,5
6448,11416890400.00,0
6449,11416901240.00,7
6450,11416912080.00,B
6451,11416922960.00,B
6452,11416933800.00,D
6453,11416944640.00,4
6454,11416955480.00,1
6455,11416966320.00,C
6456,11416977200.00,E
6457,11416988040.00,2
6458,11416998880.00,B
6459,11417009720.00,E
6460,11417020560.00,8
6461,11417031400.00,8
6462,11417042280.00,0
6463,11417053120.00,A
6464,11417063960.00,C
6465,11417074800.00,7
6466,11417085680.00,8
6467,11417096520.00,9
6468,11417107360.00,4
6469,11417118200.00,1
6470,11417129040.00,6
6471,11417139920.00,1
6472,11417150760.00,8
6473,11417161600.00,9
6474,11417172440.00,6
6475,11417183280.00,D
6476,11417194160.00,8
6477,11417205000.00,[0D]
6478,11417215840.00,[0A]
6479,11462819840.00,[0D]
6480,11462830680.00,[0A]
6481,11462841520.00,+
6482,11462852360.00,M
6483,11462863200.00,I
6484,11462874080.00,P
6485,11462884920.00,U
6486,11462895760.00,R
6487,11462906600.00,C
6488,11462917440.00,:
6489,11462928280.00,[20]
6490,11462939160.00,"
6491,11462950000.00,r
6492,11462960840.00,t
6493,11462971680.00,c
6494,11462982560.00,p
6495,11462993400.00,"
6496,11463004240.00,,
6497,11463015080.00,0
6498,11463025920.00,,
6499,11463036800.00,2
6500,11463047640.00,4
6501,11463058480.00,3
6502,11463069320.00,,
6503,11463080160.00,8
6504,11463091040.00,2
6505,11463101880.00,7
6506,11463112720.00,E
6507,11463123560.00,0
6508,11463134400.00,0
6509,11463145240.00,E
6510,11463156120.00,F
6511,11463166960.00,0
6512,11463177800.00,0
6513,11463188640.00,0
6514,11463199520.00,0
6515,11463210360.00,0
6516,11463221200.00,0
6517,11463232040.00,E
6518,11463242880.00,B
6519,11463253760.00,6
6520,11463264600.00,B
6521,11463275440.00,8
6522,11463286280.00,3
6523,11463297120.00,4
6524,11463308000.00,9
6525,11463318840.00,4
6526,11463329680.00,E
6527,11463340520.00,B
6528,11463351360.00,4
6529,11463362200.00,0
6530,11463373080.00,2
6531,11463383920.00,9
6532,11463394760.00,8
6533,11463405600.00,2
6534,11463416480.00,3
6535,11463427320.00,0
6536,11463438160.00,A
6537,11463449000.00,4
6538,11463459840.00,A
6539,11463470720.00,E
6540,11463481560.00,7
6541,11463492400.00,4
6542,11463503240.00,3
6543,11463514080.00,E
6544,11463524960.00,8
6545,11463535800.00,2
6546,11463546640.00,E
6547,11463557480.00,7
6548,11463568320.00,E
6549,11463579200.00,D
6550,11463590040.00,C
6551,11463600880.00,A
6552,11463611720.00,0
6553,11463622560.00,4
6554,11463633440.00,5
6555,11463644280.00,4
6556,11463655120.00,E
6557,11463665960.00,1
6558,11463676800.00,5
6559,11463687680.00,F
6560,11463698520.00,5
6561,11463709360.00,F
6562,11463720200.00,2
6563,11463731040.00,8
6564,11463741920.00,E
6565,11463752760.00,4
6566,11463763600.00,3
6567,11463774440.00,8
6568,11463785280.00,A
6569,11463796160.00,A
6570,11463807000.00,0
6571,11463817840.00,4
6572,11463828680.00,6
6573,11463839520.00,6
6574,11463850400.00,F
6575,11463861240.00,D
6576,11463872080.00,9
6577,11463882920.00,B
6578,11463893760.00,D
6579,11463904640.00,B
6580,11463915480.00,B
6581,11463926320.00,5
6582,11463937160.00,0
6583,11463948000.00,B
6584,11463958880.00,6
6585,11463969720.00,7
6586,11463980560.00,D
6587,11463991400.00,4
6588,11464002240.00,9
6589,11464013120.00,7
6590,11464023960.00,C
6591,11464034800.00,6
6592,11464045640.00,F
6593,11464056480.00,F
6594,11464067360.00,5
6595,11464078200.00,A
6596,11464089040.00,9
6597,11464099880.00,3
6598,11464110720.00,9
6599,11464121600.00,C
6600,11464132440.00,4
6601,11464143280.00,F
6602,11464154120.00,5
6603,11464164960.00,C
6604,11464175840.00,4
6605,11464186680.00,E
6606,11464197520.00,9
6607,11464208360.00,B
6608,11464219200.00,E
6609,11464230080.00,8
6610,11464240920.00,8
6611,11464251760.00,D
6612,11464262600.00,7
6613,11464273440.00,7
6614,11464284320.00,4
6615,11464295160.00,1
6616,11464306000.00,2
6617,11464316840.00,5
6618,11464327680.00,4
6619,11464338560.00,8
6620,11464349400.00,8
6621,11464360240.00,A
6622,11464371080.00,F
6623,11464381920.00,9
6624,11464392800.00,C
6625,11464403640.00,1
6626,11464414480.00,8
6627,11464425320.00,4
6628,11464436160.00,9
6629,11464447040.00,A
6630,11464457880.00,B
6631,11464468720.00,8
6632,11464479560.00,3
6633,11464490400.00,A
6634,11464501280.00,8
6635,11464512120.00,8
6636,11464522960.00,6
6637,11464533800.00,4
6638,11464544640.00,2
6639,11464555520.00,1
6640,11464566360.00,8
6641,11464577200.00,4
6642,11464588040.00,D
6643,11464598880.00,A
6644,11464609760.00,E
6645,11464620600.00,9
6646,11464631440.00,4
6647,11464642280.00,7
6648,11464653120.00,3
6649,11464664000.00,1
6650,11464674840.00,F
6651,11464685680.00,B
6652,11464696520.00,1
6653,11464707360.00,3
6654,11464718240.00,1
6655,11464729080.00,E
6656,11464739920.00,D
6657,11464750760.00,E
6658,11464761600.00,C
6659,11464772480.00,B
6660,11464783320.00,9
6661,11464794160.00,0
6662,11464805000.00,F
6663,11464815840.00,9
6664,11464826720.00,6
6665,11464837560.00,C
6666,11464848400.00,5
6667,11464859240.00,7
6668,11464870080.00,F
6669,11464880960.00,7
6670,11464891800.00,F
6671,11464902640.00,D
6672,11464913480.00,7
6673,11464924320.00,B
6674,11464935200.00,6
6675,11464946040.00,E
6676,11464956880.00,9
6677,11464967720.00,C
6678,11464978560.00,C
6679,11464989440.00,C
6680,11465000280.00,2
6681,11465011120.00,5
6682,11465021960.00,5
6683,11465032800.00,3
6684,11465043680.00,D
6685,11465054520.00,C
6686,11465065360.00,C
6687,11465076200.00,E
6688,11465087040.00,E
6689,11465097920.00,5
6690,11465108760.00,1
6691,11465119600.00,7
6692,11465130440.00,9
6693,11465141280.00,C
6694,11465152160.00,E
6695,11465163000.00,4
6696,11465173840.00,5
6697,11465184680.00,E
6698,11465195520.00,B
6699,11465206400.00,5
6700,11465217240.00,4
6701,11465228080.00,8
6702,11465238920.00,4
6703,11465249760.00,E
6704,11465260640.00,F
6705,11465271480.00,4
6706,11465282320.00,E
6707,11465293160.00,6
6708,11465304000.00,B
6709,11465314880.00,1
6710,11465325720.00,8
6711,11465336560.00,C
6712,11465347400.00,6
6713,11465358240.00,D
6714,11465369120.00,5
6715,11465379960.00,B
6716,11465390800.00,9
6717,11465401640.00,A
6718,11465412520.00,7
6719,11465423360.00,D
6720,11465434200.00,6
6721,11465445040.00,2
6722,11465455880.00,A
6723,11465466720.00,D
6724,11465477600.00,0
6725,11465488440.00,1
6726,11465499280.00,5
6727,11465510120.00,5
6728,11465520960.00,A
6729,11465531840.00,3
6730,11465542680.00,A
6731,11465553520.00,6
6732,11465564360.00,2
6733,11465575200.00,A
6734,11465586080.00,D
6735,11465596920.00,0
6736,11465607760.00,8
6737,11465618600.00,7
6738,11465629480.00,1
6739,11465640320.00,4
6740,11465651160.00,C
6741,11465662000.00,2
6742,11465672840.00,C
6743,11465683680.00,D
6744,11465694560.00,D
6745,11465705400.00,F
6746,11465716240.00,E
6747,11465727080.00,6
6748,11465737920.00,B
6749,11465748800.00,1
6750,11465759640.00,B
6751,11465770480.00,9
6752,11465781320.00,3
6753,11465792160.00,A
6754,11465803040.00,8
6755,11465813880.00,7
6756,11465824720.00,1
6757,11465835560.00,D
6758,11465846440.00,C
6759,11465857280.00,3
6760,11465868120.00,2
6761,11465878960.00,9
6762,11465889800.00,C
6763,11465900640.00,E
6764,11465911520.00,0
6765,11465922360.00,C
6766,11465933200.00,7
6767,11465944040.00,5
6768,11465954880.00,1
6769,11465965760.00,E
6770,11465976600.00,1
6771,11465987440.00,6
6772,11465998280.00,A
6773,11466009120.00,C
6774,11466020000.00,5
6775,11466030840.00,0
6776,11466041680.00,9
6777,11466052520.00,3
6778,11466063400.00,9
6779,11466074240.00,9
6780,11466085080.00,2
6781,11466095920.00,4
6782,11466106760.00,A
6783,11466117600.00,0
6784,11466128480.00,7
6785,11466139320.00,1
6786,11466150160.00,C
6787,11466161000.00,D
6788,11466171840.00,7
6789,11466182720.00,8
6790,11466193560.00,9
6791,11466204400.00,B
6792,11466215240.00,B
6793,11466226080.00,3
6794,11466236960.00,D
6795,11466247800.00,9
6796,11466258640.00,5
6797,11466269480.00,F
6798,11466280360.00,1
6799,11466291200.00,6
6800,11466302040.00,6
6801,11466312880.00,A
6802,11466323720.00,9
6803,11466334560.00,C
6804,11466345440.00,3
6805,11466356280.00,5
6806,11466367120.00,A
6807,11466377960.00,C
6808,11466388800.00,0
6809,11466399680.00,4
6810,11466410520.00,F
6811,11466421360.00,4
6812,11466432200.00,D
6813,11466443040.00,4
6814,11466453920.00,C
6815,11466464760.00,7
6816,11466475600.00,2
6817,11466486440.00,5
6818,11466497320.00,9
6819,11466508160.00,9
6820,11466519000.00,2
6821,11466529840.00,C
6822,11466540680.00,4
6823,11466551560.00,1
6824,11466562400.00,2
6825,11466573240.00,A
6826,11466584080.00,F
6827,11466594920.00,9
6828,11466605760.00,A
6829,11466616640.00,B
6830,11466627480.00,8
6831,11466638320.00,1
6832,11466649160.00,A
6833,11466660000.00,7
6834,11466670880.00,E
6835,11466681720.00,0
6836,11466692560.00,B
6837,11466703400.00,C
6838,11466714280.00,D
6839,11466725120.00,4
6840,11466735960.00,6
6841,11466746800.00,A
6842,11466757640.00,7
6843,11466768520.00,6
6844,11466779360.00,C
6845,11466790200.00,D
6846,11466801040.00,B
6847,11466811880.00,1
6848,11466822720.00,7
6849,11466833600.00,6
6850,11466844440.00,0
6851,11466855280.00,A
6852,11466866120.00,C
6853,11466876960.00,4
6854,11466887840.00,1
6855,11466898680.00,D
6856,11466909520.00,4
6857,11466920360.00,3
6858,11466931240.00,4
6859,11466942080.00,2
6860,11466952920.00,E
6861,11466963760.00,8
6862,11466974600.00,C
6863,11466985480.00,F
6864,11466996320.00,6
6865,11467007160.00,7
6866,11467018000.00,0
6867,11467028840.00,7
6868,11467039680.00,4
6869,11467050560.00,9
6870,11467061400.00,D
6871,11467072240.00,0
6872,11467083080.00,5
6873,11467093920.00,C
6874,11467104800.00,0
6875,11467115640.00,3
6876,11467126480.00,6
6877,11467137320.00,7
6878,11467148200.00,7
6879,11467159040.00,1
6880,11467169880.00,D
6881,11467180720.00,A
6882,11467191560.00,5
6883,11467202440.00,4
6884,11467213280.00,A
6885,11467224120.00,8
6886,11467234960.00,6
6887,11467245800.00,A
6888,11467256680.00,A
6889,11467267520.00,F
6890,11467278360.00,6
6891,11467289200.00,D
6892,11467300040.00,A
6893,11467310880.00,4
6894,11467321760.00,A
6895,11467332600.00,D
6896,11467343440.00,1
6897,11467354280.00,A
6898,11467365160.00,C
6899,11467376000.00,A
6900,11467386840.00,4
6901,11467397680.00,D
6902,11467408520.00,7
6903,11467419400.00,F
6904,11467430240.00,A
6905,11467441080.00,0
6906,11467451920.00,F
6907,11467462760.00,6
6908,11467473640.00,C
6909,11467484480.00,B
6910,11467495320.00,A
6911,11467506160.00,5
6912,11467517000.00,6
6913,11467527840.00,3
6914,11467538720.00,6
6915,11467549560.00,4
6916,11467560400.00,4
6917,11467571240.00,7
6918,11467582120.00,E
6919,11467592960.00,9
6920,11467603800.00,6
6921,11467614640.00,7
6922,11467625480.00,9
6923,11467636360.00,A
6924,11467647200.00,5
6925,11467658040.00,5
6926,11467668880.00,4
6927,11467679720.00,0
6928,11467690600.00,7
6929,11467701440.00,5
6930,11467712280.00,0
6931,11467723120.00,8
6932,11467733960.00,2
6933,11467744800.00,3
6934,11467755680.00,A
6935,11467766520.00,F
6936,11467777360.00,6
6937,11467788200.00,3
6938,11467799080.00,7
6939,11467809920.00,8
6940,11467820760.00,2
6941,11467831600.00,2
6942,11467842440.00,2
6943,11467853320.00,B
6944,11467864160.00,6
6945,11467875000.00,3
6946,11467885840.00,1
6947,11467896680.00,D
6948,11467907560.00,E
6949,11467918400.00,D
6950,11467929240.00,4
6951,11467940080.00,1
6952,11467950920.00,F
6953,11467961760.00,6
6954,11467972640.00,D
6955,11467983480.00,A
6956,11467994320.00,A
6957,11468005160.00,C
6958,11468016040.00,D
6959,11468026880.00,C
6960,11468037720.00,0
6961,11468048560.00,F
6962,11468059400.00,4
6963,11468070280.00,D
6964,11468081120.00,E
6965,11468091960.00,5
6966,11468102800.00,D
6967,11468113640.00,3
6968,11468124520.00,4
6969,11468135360.00,8
6970,11468146200.00,A
6971,11468157040.00,5
6972,11468167880.00,3
6973,11468178720.00,F
6974,11468189600.00,B
6975,11468200440.00,D
6976,11468211280.00,E
6977,11468222120.00,9
6978,11468233000.00,8
6979,11468243840.00,7
6980,11468254680.00,E
6981,11468265520.00,1
6982,11468276360.00,C
6983,11468287240.00,B
6984,11468298080.00,E
6985,11468308920.00,0
6986,11468319760.00,3
6987,11468330600.00,F
6988,11468341480.00,E
6989,11468352320.00,[0D]
6990,11468363160.00,[0A]
6991,11512746760.00,[0D]
6992,11512757600.00,[0A]
6993,11512768440.00,+
6994,11512779280.00,M
6995,11512790120.00,I
6996,11512801000.00,P
6997,11512811840.00,U
6998,11512822680.00,R
6999,11512833520.00,C
7000,11512844360.00,:
7001,11512855200.00,[20]
7002,11512866080.00,"
7003,11512876920.00,r
7004,11512887760.00,t
7005,11512898600.00,c
7006,11512909480.00,p
7007,11512920320.00,"
7008,11512931160.00,,
7009,11512942000.00,0
7010,11512952840.00,,
7011,11512963720.00,2
7012,11512974560.00,3
7013,11512985400.00,5
7014,11512996240.00,,
7015,11513007080.00,8
7016,11513017960.00,2
7017,11513028800.00,7
7018,11513039640.00,E
7019,11513050480.00,0
7020,11513061320.00,0
7021,11513072160.00,E
7022,11513083040.00,7
7023,11513093880.00,0
7024,11513104720.00,0
7025,11513115560.00,0
7026,11513126440.00,0
7027,11513137280.00,0
7028,11513148120.00,0
7029,11513158960.00,E
7030,11513169800.00,3
7031,11513180680.00,6
7032,11513191520.00,B
7033,11513202360.00,8
7034,11513213200.00,3
7035,11513224040.00,4
7036,11513234920.00,F
7037,11513245760.00,4
7038,11513256600.00,8
7039,11513267440.00,B
7040,11513278280.00,A
7041,11513289120.00,C
7042,11513300000.00,7
7043,11513310840.00,A
7044,11513321680.00,6
7045,11513332520.00,5
7046,11513343400.00,8
7047,11513354240.00,4
7048,11513365080.00,1
7049,11513375920.00,0
7050,11513386760.00,C
7051,11513397640.00,8
7052,11513408480.00,0
7053,11513419320.00,D
7054,11513430160.00,6
7055,11513441000.00,B
7056,11513451880.00,5
7057,11513462720.00,C
7058,11513473560.00,7
7059,11513484400.00,C
7060,11513495240.00,7
7061,11513506080.00,D
7062,11513516960.00,8
7063,11513527800.00,1
7064,11513538640.00,1
7065,11513549480.00,5
7066,11513560360.00,7
7067,11513571200.00,A
7068,11513582040.00,B
7069,11513592880.00,2
7070,11513603720.00,8
7071,11513614600.00,F
7072,11513625440.00,F
7073,11513636280.00,5
7074,11513647120.00,E
7075,11513657960.00,C
7076,11513668840.00,1
7077,11513679680.00,F
7078,11513690520.00,5
7079,11513701360.00,7
7080,11513712200.00,F
7081,11513723040.00,5
7082,11513733920.00,9
7083,11513744760.00,E
7084,11513755600.00,3
7085,11513766440.00,D
7086,11513777320.00,9
7087,11513788160.00,7
7088,11513799000.00,9
7089,11513809840.00,A
7090,11513820680.00,A
7091,11513831560.00,D
7092,11513842400.00,5
7093,11513853240.00,A
7094,11513864080.00,3
7095,11513874920.00,D
7096,11513885800.00,8
7097,11513896640.00,7
7098,11513907480.00,7
7099,11513918320.00,9
7100,11513929160.00,C
7101,11513940040.00,9
7102,11513950880.00,4
7103,11513961720.00,0
7104,11513972560.00,4
7105,11513983400.00,0
7106,11513994280.00,9
7107,11514005120.00,0
7108,11514015960.00,3
7109,11514026800.00,F
7110,11514037640.00,E
7111,11514048520.00,7
7112,11514059360.00,7
7113,11514070200.00,6
7114,11514081040.00,6
7115,11514091880.00,9
7116,11514102760.00,E
7117,11514113600.00,D
7118,11514124440.00,2
7119,11514135280.00,E
7120,11514146120.00,D
7121,11514157000.00,B
7122,11514167840.00,3
7123,11514178680.00,C
7124,11514189520.00,D
7125,11514200360.00,6
7126,11514211240.00,4
7127,11514222080.00,6
7128,11514232920.00,7
7129,11514243760.00,0
7130,11514254600.00,E
7131,11514265480.00,2
7132,11514276320.00,C
7133,11514287160.00,0
7134,11514298000.00,1
7135,11514308840.00,C
7136,11514319720.00,4
7137,11514330560.00,F
7138,11514341400.00,8
7139,11514352240.00,C
7140,11514363080.00,2
7141,11514373960.00,4
7142,11514384800.00,8
7143,11514395640.00,1
7144,11514406480.00,7
7145,11514417320.00,0
7146,11514428200.00,2
7147,11514439040.00,A
7148,11514449880.00,A
7149,11514460720.00,A
7150,11514471560.00,A
7151,11514482440.00,F
7152,11514493280.00,C
7153,11514504120.00,B
7154,11514514960.00,3
7155,11514525800.00,1
7156,11514536680.00,2
7157,11514547520.00,D
7158,11514558360.00,7
7159,11514569200.00,1
7160,11514580040.00,C
7161,11514590920.00,C
7162,11514601760.00,1
7163,11514612600.00,1
7164,11514623440.00,F
7165,11514634280.00,E
7166,11514645160.00,9
7167,11514656000.00,F
7168,11514666840.00,E
7169,11514677680.00,4
7170,11514688520.00,0
7171,11514699400.00,1
7172,11514710240.00,F
7173,11514721080.00,E
7174,11514731920.00,E
7175,11514742760.00,2
7176,11514753640.00,1
7177,11514764480.00,C
7178,11514775320.00,7
7179,11514786160.00,2
7180,11514797000.00,B
7181,11514807880.00,0
7182,11514818720.00,1
7183,11514829560.00,1
7184,11514840400.00,F
7185,11514851240.00,4
7186,11514862120.00,8
7187,11514872960.00,B
7188,11514883800.00,1
7189,11514894640.00,6
7190,11514905480.00,7
7191,11514916360.00,C
7192,11514927200.00,E
7193,11514938040.00,5
7194,11514948880.00,B
7195,11514959720.00,C
7196,11514970600.00,D
7197,11514981440.00,B
7198,11514992280.00,A
7199,11515003120.00,6
7200,11515013960.00,7
7201,11515024840.00,A
7202,11515035680.00,7
7203,11515046520.00,5
7204,11515057360.00,9
7205,11515068200.00,3
7206,11515079080.00,6
7207,11515089920.00,A
7208,11515100760.00,1
7209,11515111600.00,1
7210,11515122440.00,3
7211,11515133320.00,7
7212,11515144160.00,9
7213,11515155000.00,E
7214,11515165840.00,1
7215,11515176680.00,B
7216,11515187560.00,2
7217,11515198400.00,8
7218,11515209240.00,B
7219,11515220080.00,B
7220,11515230920.00,C
7221,11515241800.00,A
7222,11515252640.00,5
7223,11515263480.00,5
7224,11515274320.00,A
7225,11515285160.00,A
7226,11515296040.00,9
7227,11515306880.00,4
7228,11515317720.00,6
7229,11515328560.00,A
7230,11515339400.00,B
7231,11515350280.00,E
7232,11515361120.00,F
7233,11515371960.00,9
7234,11515382800.00,4
7235,11515393640.00,C
7236,11515404520.00,D
7237,11515415360.00,3
7238,11515426200.00,A
7239,11515437040.00,0
7240,11515447880.00,3
7241,11515458760.00,2
7242,11515469600.00,2
7243,11515480440.00,A
7244,11515491280.00,C
7245,11515502120.00,5
7246,11515513000.00,F
7247,11515523840.00,E
7248,11515534680.00,B
7249,11515545520.00,8
7250,11515556360.00,6
7251,11515567240.00,E
7252,11515578080.00,3
7253,11515588920.00,F
7254,11515599760.00,2
7255,11515610600.00,2
7256,11515621480.00,6
7257,11515632320.00,B
7258,11515643160.00,7
7259,11515654000.00,3
7260,11515664840.00,4
7261,11515675720.00,2
7262,11515686560.00,8
7263,11515697400.00,3
7264,11515708240.00,B
7265,11515719080.00,9
7266,11515729960.00,4
7267,11515740800.00,3
7268,11515751640.00,3
7269,11515762480.00,E
7270,11515773360.00,B
7271,11515784200.00,2
7272,11515795040.00,A
7273,11515805880.00,A
7274,11515816720.00,1
7275,11515827560.00,3
7276,11515838440.00,6
7277,11515849280.00,B
7278,11515860120.00,F
7279,11515870960.00,A
7280,11515881800.00,9
7281,11515892680.00,C
7282,11515903520.00,E
7283,11515914360.00,5
7284,11515925200.00,6
7285,11515936040.00,A
7286,11515946920.00,B
7287,11515957760.00,8
7288,11515968600.00,2
7289,11515979440.00,2
7290,11515990320.00,9
7291,11516001160.00,1
7292,11516012000.00,4
7293,11516022840.00,7
7294,11516033680.00,E
7295,11516044520.00,2
7296,11516055400.00,E
7297,11516066240.00,E
7298,11516077080.00,1
7299,11516087920.00,7
7300,11516098760.00,D
7301,11516109640.00,7
7302,11516120480.00,2
7303,11516131320.00,2
7304,11516142160.00,2
7305,11516153000.00,0
7306,11516163880.00,4
7307,11516174720.00,2
7308,11516185560.00,8
7309,11516196400.00,8
7310,11516207280.00,D
7311,11516218120.00,9
7312,11516228960.00,0
7313,11516239800.00,9
7314,11516250640.00,6
7315,11516261480.00,9
7316,11516272360.00,5
7317,11516283200.00,D
7318,11516294040.00,D
7319,11516304880.00,7
7320,11516315720.00,C
7321,11516326600.00,A
7322,11516337440.00,5
7323,11516348280.00,C
7324,11516359120.00,3
7325,11516369960.00,6
7326,11516380840.00,4
7327,11516391680.00,C
7328,11516402520.00,B
7329,11516413360.00,9
7330,11516424240.00,B
7331,11516435080.00,1
7332,11516445920.00,0
7333,11516456760.00,5
7334,11516467600.00,A
7335,11516478480.00,C
7336,11516489320.00,B
7337,11516500160.00,C
7338,11516511000.00,0
7339,11516521840.00,2
7340,11516532680.00,0
7341,11516543560.00,B
7342,11516554400.00,8
7343,11516565240.00,6
7344,11516576080.00,F
7345,11516586920.00,2
7346,11516597800.00,7
7347,11516608640.00,2
7348,11516619480.00,2
7349,11516630320.00,5
7350,11516641200.00,1
7351,11516652040.00,C
7352,11516662880.00,D
7353,11516673720.00,7
7354,11516684560.00,4
7355,11516695440.00,A
7356,11516706280.00,F
7357,11516717120.00,5
7358,11516727960.00,8
7359,11516738800.00,5
7360,11516749640.00,B
7361,11516760520.00,F
7362,11516771360.00,A
7363,11516782200.00,B
7364,11516793040.00,C
7365,11516803880.00,3
7366,11516814760.00,4
7367,11516825600.00,E
7368,11516836440.00,7
7369,11516847280.00,8
7370,11516858160.00,B
7371,11516869000.00,8
7372,11516879840.00,8
7373,11516890680.00,A
7374,11516901520.00,7
7375,11516912400.00,C
7376,11516923240.00,A
7377,11516934080.00,C
7378,11516944920.00,0
7379,11516955760.00,A
7380,11516966600.00,8
7381,11516977480.00,3
7382,11516988320.00,6
7383,11516999160.00,1
7384,11517010000.00,9
7385,11517020840.00,9
7386,11517031720.00,8
7387,11517042560.00,6
7388,11517053400.00,A
7389,11517064240.00,B
7390,11517075120.00,1
7391,11517085960.00,D
7392,11517096800.00,F
7393,11517107640.00,0
7394,11517118480.00,9
7395,11517129360.00,8
7396,11517140200.00,6
7397,11517151040.00,F
7398,11517161880.00,7
7399,11517172720.00,F
7400,11517183560.00,3
7401,11517194440.00,F
7402,11517205280.00,D
7403,11517216120.00,9
7404,11517226960.00,7
7405,11517237800.00,0
7406,11517248680.00,D
7407,11517259520.00,8
7408,11517270360.00,9
7409,11517281200.00,1
7410,11517292080.00,A
7411,11517302920.00,F
7412,11517313760.00,9
7413,11517324600.00,1
7414,11517335440.00,D
7415,11517346320.00,1
7416,11517357160.00,B
7417,11517368000.00,6
7418,11517378840.00,1
7419,11517389680.00,9
7420,11517400520.00,B
7421,11517411400.00,D
